Time,Temperature in C,Humidity in %,Light
11:45:5,24.59,53.73,33448.00
11:45:10,24.70,53.33,31495.00
11:45:15,24.77,53.75,27398.00
11:45:20,24.86,53.06,32423.00
11:45:25,24.97,54.03,32327.00
11:45:30,25.31,74.75,25350.00
11:45:35,25.64,84.29,31783.00
11:45:41,25.60,65.52,62159.00
11:45:46,25.62,54.50,62015.00
11:45:51,25.62,52.06,50684.00
