Day,Month,Year,Hour,Minute,Seconds,Ambient_Temperature,Object_Temperature
31,8,2022,24,53,11,24.13,22.89
31,8,2022,24,53,12,24.13,22.71
31,8,2022,24,53,13,24.13,22.87
31,8,2022,24,53,15,24.11,22.77
31,8,2022,24,53,16,24.13,22.65
31,8,2022,24,53,17,24.13,22.81
31,8,2022,24,53,18,24.17,22.77
31,8,2022,24,53,19,24.13,22.93
31,8,2022,24,53,20,24.13,22.95
31,8,2022,24,53,21,24.13,22.87
31,8,2022,24,53,22,24.17,22.93
31,8,2022,24,53,23,24.13,22.95
31,8,2022,24,53,24,24.11,22.71
31,8,2022,24,53,25,24.13,22.83
31,8,2022,24,53,26,24.15,22.95
31,8,2022,24,53,27,24.15,22.95
31,8,2022,24,53,28,24.15,22.65
31,8,2022,24,53,29,24.13,22.83
31,8,2022,24,53,30,24.13,22.93
31,8,2022,24,53,31,24.13,22.95
31,8,2022,24,53,33,24.13,22.83
31,8,2022,24,53,34,24.15,22.83
31,8,2022,24,53,35,24.13,22.83
31,8,2022,24,53,36,24.13,22.93
31,8,2022,24,53,37,24.13,22.81
31,8,2022,24,53,38,24.13,22.75
31,8,2022,24,53,39,24.13,22.81
31,8,2022,24,53,40,24.13,22.95
31,8,2022,24,53,41,24.15,22.89
31,8,2022,24,53,42,24.09,22.93
31,8,2022,24,53,43,24.13,22.95
31,8,2022,24,53,44,24.15,22.83
31,8,2022,24,53,45,24.13,22.81
31,8,2022,24,53,46,24.15,22.83
31,8,2022,24,53,47,24.13,22.65
31,8,2022,24,53,48,24.13,22.81
31,8,2022,24,53,49,24.13,22.83
31,8,2022,24,53,50,24.15,22.77
31,8,2022,24,53,51,24.13,22.75
31,8,2022,24,53,52,24.15,22.95
31,8,2022,24,53,53,24.13,22.65
31,8,2022,24,53,55,24.13,22.75
31,8,2022,24,53,56,24.13,22.71
31,8,2022,24,53,57,24.13,22.69
31,8,2022,24,53,58,24.13,22.83
31,8,2022,24,53,59,24.11,22.89
31,8,2022,24,54,0,24.13,22.71
31,8,2022,24,54,1,24.11,22.93
31,8,2022,24,54,2,24.13,22.71
31,8,2022,24,54,3,24.11,22.83
31,8,2022,24,54,4,24.11,22.69
31,8,2022,24,54,5,24.13,22.75
31,8,2022,24,54,6,24.11,22.63
31,8,2022,24,54,7,24.13,22.75
31,8,2022,24,54,8,24.11,22.83
31,8,2022,24,54,9,24.13,22.81
31,8,2022,24,54,10,24.11,22.83
31,8,2022,24,54,11,24.09,22.83
31,8,2022,24,54,12,24.13,22.99
31,8,2022,24,54,13,24.11,22.81
31,8,2022,24,54,14,24.13,22.75
31,8,2022,24,54,15,24.11,22.93
31,8,2022,24,54,17,24.11,25.91
31,8,2022,24,54,18,24.13,31.41
31,8,2022,24,54,19,24.13,31.63
31,8,2022,24,54,20,24.15,32.09
31,8,2022,24,54,21,24.11,32.05
31,8,2022,24,54,22,24.15,32.39
31,8,2022,24,54,23,24.15,33.17
31,8,2022,24,54,24,24.19,33.95
31,8,2022,24,54,25,24.23,33.79
31,8,2022,24,54,26,24.21,33.61
31,8,2022,24,54,27,24.21,30.51
31,8,2022,24,54,28,24.25,32.27
31,8,2022,24,54,29,24.27,32.03
31,8,2022,24,54,30,24.27,35.99
31,8,2022,24,54,31,24.31,36.01
31,8,2022,24,54,32,24.33,36.07
31,8,2022,24,54,33,24.37,31.27
31,8,2022,24,54,34,24.41,30.67
31,8,2022,24,54,35,24.39,32.03
31,8,2022,24,54,36,24.43,29.09
31,8,2022,24,54,38,24.47,19.23
31,8,2022,24,54,39,24.47,24.15
31,8,2022,24,54,40,24.53,21.45
31,8,2022,24,54,41,24.53,21.05
31,8,2022,24,54,42,24.53,21.05
31,8,2022,24,54,43,24.53,21.05
31,8,2022,24,54,44,24.55,21.29
31,8,2022,24,54,45,24.57,21.37
31,8,2022,24,54,46,24.57,21.37
31,8,2022,24,54,47,24.61,21.51
31,8,2022,24,54,48,24.57,21.43
31,8,2022,24,54,49,24.59,22.11
31,8,2022,24,54,50,24.55,21.71
31,8,2022,24,54,51,24.59,23.17
31,8,2022,24,54,52,24.61,21.05
31,8,2022,24,54,53,24.59,19.23
31,8,2022,24,54,54,24.61,19.09
