 

stn;time;tre200s0;rre150z0
NABBER;202209020520;12.4;0.0
NABBER;202209020530;12.6;0.0
NABBER;202209020540;12.8;0.0
NABBER;202209020550;13.1;0.0
NABBER;202209020600;13.6;0.0
NABBER;202209020610;13.6;0.0
NABBER;202209020620;13.7;0.0
NABBER;202209020630;13.8;0.0
NABBER;202209020640;14.1;0.0
NABBER;202209020650;14.4;0.0
NABBER;202209020700;14.4;0.0
NABBER;202209020710;14.7;0.0
NABBER;202209020720;14.7;0.0
NABBER;202209020730;15.2;0.0
NABBER;202209020740;15.4;0.0
NABBER;202209020750;15.5;0.0
NABBER;202209020800;16.1;0.0
NABBER;202209020810;16.8;0.0
NABBER;202209020820;17.5;0.0
NABBER;202209020830;17.6;0.0
NABBER;202209020840;17.3;0.0
NABBER;202209020850;16.5;0.0
NABBER;202209020900;16.4;0.0
NABBER;202209020910;16.6;0.0
NABBER;202209020920;17.1;0.0
NABBER;202209020930;17.8;0.0
NABBER;202209020940;18.7;0.0
NABBER;202209020950;19.5;0.0
NABBER;202209021000;19.6;0.0
NABBER;202209021010;20.1;0.0
NABBER;202209021020;20.0;0.0
NABBER;202209021030;20.7;0.0
NABBER;202209021040;21.1;0.0
NABBER;202209021050;21.2;0.0
NABBER;202209021100;21.0;0.0
NABBER;202209021110;21.3;0.0
NABBER;202209021120;21.7;0.0
NABBER;202209021130;22.0;0.0
NABBER;202209021140;22.4;0.0
NABBER;202209021150;23.0;0.0
NABBER;202209021200;23.3;0.0
NABBER;202209021210;23.4;0.0
NABBER;202209021220;23.1;0.0
NABBER;202209021230;23.1;0.0
NABBER;202209021240;23.3;0.0
NABBER;202209021250;23.2;0.0
NABBER;202209021300;23.4;0.0
NABBER;202209021310;23.3;0.0
NABBER;202209021320;23.3;0.0
NABBER;202209021330;22.9;0.0
NABBER;202209021340;22.5;0.0
NABBER;202209021350;22.2;0.0
NABBER;202209021400;21.8;0.0
NABBER;202209021410;21.6;0.0
NABBER;202209021420;21.3;0.0
NABBER;202209021430;20.7;0.0
NABBER;202209021440;20.4;0.0
NABBER;202209021450;20.7;0.0
