 

stn;time;gre000z0
BAN;202209040010;1
BAN;202209040020;1
BAN;202209040030;1
BAN;202209040040;1
BAN;202209040050;1
BAN;202209040100;1
BAN;202209040110;1
BAN;202209040120;1
BAN;202209040130;1
BAN;202209040140;2
BAN;202209040150;1
BAN;202209040200;2
BAN;202209040210;1
BAN;202209040220;1
BAN;202209040230;1
BAN;202209040240;1
BAN;202209040250;1
BAN;202209040300;0
BAN;202209040310;0
BAN;202209040320;1
BAN;202209040330;1
BAN;202209040340;1
BAN;202209040350;1
BAN;202209040400;1
BAN;202209040410;1
BAN;202209040420;2
BAN;202209040430;1
BAN;202209040440;1
BAN;202209040450;3
BAN;202209040500;4
BAN;202209040510;9
BAN;202209040520;17
BAN;202209040530;23
BAN;202209040540;29
BAN;202209040550;43
BAN;202209040600;81
BAN;202209040610;103
BAN;202209040620;159
BAN;202209040630;89
BAN;202209040640;101
BAN;202209040650;124
BAN;202209040700;314
BAN;202209040710;345
BAN;202209040720;267
BAN;202209040730;319
BAN;202209040740;356
BAN;202209040750;374
BAN;202209040800;479
BAN;202209040810;511
BAN;202209040820;563
BAN;202209040830;437
BAN;202209040840;410
BAN;202209040850;520
BAN;202209040900;625
BAN;202209040910;665
BAN;202209040920;616
BAN;202209040930;727
BAN;202209040940;741
BAN;202209040950;727
BAN;202209041000;784
BAN;202209041010;721
BAN;202209041020;714
BAN;202209041030;535
BAN;202209041040;847
BAN;202209041050;879
BAN;202209041100;918
BAN;202209041110;898
BAN;202209041120;725
BAN;202209041130;724
BAN;202209041140;654
BAN;202209041150;814
BAN;202209041200;823
BAN;202209041210;708
BAN;202209041220;758
BAN;202209041230;777
BAN;202209041240;752
BAN;202209041250;747
BAN;202209041300;748
BAN;202209041310;764
BAN;202209041320;516
BAN;202209041330;595
BAN;202209041340;707
BAN;202209041350;634
BAN;202209041400;688
BAN;202209041410;647
BAN;202209041420;486
BAN;202209041430;525
BAN;202209041440;514
BAN;202209041450;476
BAN;202209041500;379
BAN;202209041510;236
BAN;202209041520;471
BAN;202209041530;443
BAN;202209041540;410
BAN;202209041550;373
BAN;202209041600;340
BAN;202209041610;310
BAN;202209041620;279
BAN;202209041630;249
BAN;202209041640;219
BAN;202209041650;188
BAN;202209041700;155
BAN;202209041710;125
BAN;202209041720;97
BAN;202209041730;70
BAN;202209041740;48
BAN;202209041750;30
BAN;202209041800;15
BAN;202209041810;6
BAN;202209041820;2
BAN;202209041830;1
BAN;202209041840;1
BAN;202209041850;1
BAN;202209041900;0
BAN;202209041910;0
BAN;202209041920;0
BAN;202209041930;1
BAN;202209041940;0
BAN;202209041950;1
BAN;202209042000;1
BAN;202209042010;1
BAN;202209042020;1
BAN;202209042030;0
BAN;202209042040;0
BAN;202209042050;0
BAN;202209042100;0
BAN;202209042110;0
BAN;202209042120;0
BAN;202209042130;0
BAN;202209042140;0
BAN;202209042150;1
BAN;202209042200;1
BAN;202209042210;0
BAN;202209042220;0
BAN;202209042230;0
BAN;202209042240;0
BAN;202209042250;0
BAN;202209042300;0
BAN;202209042310;0
BAN;202209042320;0
BAN;202209042330;1
BAN;202209042340;1
BAN;202209042350;0
BAN;202209050000;1
BAN;202209050010;1
BAN;202209050020;1
BAN;202209050030;1
BAN;202209050040;0
BAN;202209050050;1
BAN;202209050100;0
BAN;202209050110;0
BAN;202209050120;1
BAN;202209050130;2
BAN;202209050140;1
BAN;202209050150;0
BAN;202209050200;0
BAN;202209050210;0
BAN;202209050220;0
BAN;202209050230;2
BAN;202209050240;1
BAN;202209050250;1
BAN;202209050300;1
BAN;202209050310;1
BAN;202209050320;1
BAN;202209050330;1
BAN;202209050340;0
BAN;202209050350;1
BAN;202209050400;2
BAN;202209050410;2
BAN;202209050420;1
BAN;202209050430;0

stn;time;gre000z0
NABBER;202209020000;-8
NABBER;202209020010;-7
NABBER;202209020020;-8
NABBER;202209020030;-7
NABBER;202209020040;-7
NABBER;202209020050;-7
NABBER;202209020100;-7
NABBER;202209020110;-7
NABBER;202209020120;-7
NABBER;202209020130;-8
NABBER;202209020140;-8
NABBER;202209020150;-8
NABBER;202209020200;-8
NABBER;202209020210;-8
NABBER;202209020220;-8
NABBER;202209020230;-8
NABBER;202209020240;-8
NABBER;202209020250;-8
NABBER;202209020300;-8
NABBER;202209020310;-8
NABBER;202209020320;-8
NABBER;202209020330;-8
NABBER;202209020340;-8
NABBER;202209020350;-7
NABBER;202209020400;-7
NABBER;202209020410;-6
NABBER;202209020420;-7
NABBER;202209020430;-6
NABBER;202209020440;-5
NABBER;202209020450;-3
NABBER;202209020500;0
NABBER;202209020510;10
NABBER;202209020520;25
NABBER;202209020530;49
NABBER;202209020540;74
NABBER;202209020550;101
